,Акция,Сектор,Период,Выплата на акцию (прогноз),Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),"Капитализация, млн. руб.",DSI
222,МГТС-п,Телекомы,годовые 2024,0.0,0%,994.0,15.05.2025,123 824.86,0.0
223,Химпром-п,Химия,всего 12м,0.0,0%,26.48,,6 080.64,0.2
224,Яндекс,Разное,годовые 2022,0.0,0%,4071.2,,0.00,
225,Группа Позитив,ПО и IT,I квартал 2025,0.0,0%,2952.2,24.05.2025,194 845.20,0.29
226,Акрон,Химия,специальные,0.0,0%,15226.0,09.03.2025,559 664.46,0.29
227,Ростелеком-ао,Телекомы,9 месяцев 2024,0.0,0%,82.51,01.12.2024,286 146.98,0.57
228,Ростелеком-п,Телекомы,9 месяцев 2024,0.0,0%,72.85,01.12.2024,286 146.98,0.57
229,Распадская,Уголь,II полугодие 2024,0.0,0%,269.3,07.06.2025,179 282.14,0.0
230,Распадская,Уголь,всего 12м,0.0,0%,269.3,,179 282.14,0.0
231,Русснефть-ао,Нефть/Газ,годовые 2024,0.0,0%,169.4,11.07.2025,49 823.93,0.0
232,ОКЕЙ,Розничная торговля,6 месяцев 2024,0.0,0%,26.35,01.08.2024,2 706.38,0.0
233,ОКЕЙ,Розничная торговля,всего 12м,0.0,0%,26.35,,2 706.38,0.0
234,Химпром-п,Химия,I квартал 2025,0.0,0%,26.48,02.04.2025,6 080.64,0.2
235,Химпром-п,Химия,I полугодие 2024,0.0,0%,26.48,11.10.2024,6 080.64,0.2
236,ТКС Холдинг,Финансы и Банки,III квартал 2024,0.0,0%,2638.5,27.11.2024,525 867.54,0.0
237,ТКС Холдинг,Финансы и Банки,IV квартал 2024,0.0,0%,2638.5,26.03.2025,525 867.54,0.0
238,ГК Самолет,Строительство,9 месяцев 2024,0.0,0%,2750.0,10.12.2024,169 343.23,0.0
239,Евротранс,Нефть/Газ,I квартал 2024,0.0,0%,112.3,09.07.2025,17 872.40,0.14
240,ФСК Россети,Энергетика,всего 12м,0.0,0%,0.1003,,211 980.05,0.0
241,Россети Северо-Запад (МРСК СЗ),Энергетика,всего 12м,0.0,0%,0.0795,,7 610.19,0.0
242,Россети Сибирь (МРСК Сибири),Энергетика,всего 12м,0.0,0%,0.5995,,56 841.69,0.0
243,Аэрофлот,Транспорт,годовые 2024,0.0,0%,54.62,05.07.2025,217 156.62,0.0
244,Россети Северо-Запад (МРСК СЗ),Энергетика,годовые 2024,0.0,0%,0.0795,09.06.2025,7 610.19,0.0
245,М.Видео,Розничная торговля,годовые 2024,0.0,0%,144.1,28.04.2025,25 904.60,0.0
246,Русал,Металлы и добыча,II полугодие 2024,0.0,0%,34.81,20.05.2025,528 944.81,0.0
247,ЛСР,Строительство,I полугодие 2024,0.0,0%,736.0,12.10.2024,75 830.24,0.29
248,X5 Retail Group,Розничная торговля,всего 12м,0.0,0%,2798.0,,0.00,0.0
249,КазаньОргСинтез-п,Химия,9 месяцев 2024,0.0,0%,23.28,15.12.2024,171 477.47,0.54
250,ВТБ,Финансы и Банки,годовые 2024,0.0,0%,98.7,30.06.2025,530 012.48,0.0
251,Газпром,Нефть/Газ,I полугодие 2024,0.0,0%,132.92,11.10.2024,6 375 745.45,0.2
252,Селигдар ао,Металлы и добыча,9 месяцев 2024,0.0,0%,57.91,03.12.2024,59 647.30,0.43
253,ЛУКОЙЛ,Нефть/Газ,специальные,0.0,0%,6717.0,21.12.2024,4 653 979.32,1.0
254,En Plus,Металлы и добыча,годовые 2024,0.0,0%,390.2,05.05.2025,249 278.84,0.0
255,En Plus,Металлы и добыча,всего 12м,0.0,0%,390.2,,249 278.84,0.0
256,М.Видео,Розничная торговля,9 месяцев 2024,0.0,0%,144.1,16.12.2024,25 904.60,0.0
257,Мечел-ао,Металлы и добыча,годовые 2024,0.0,0%,170.44,17.07.2025,70 949.19,0.0
258,Мечел-ап,Металлы и добыча,годовые 2024,0.0,0%,178.45,17.07.2025,24 761.17,0.0
259,Куйбышевазот,Химия,9 месяцев 2024,0.0,0%,531.0,12.12.2024,126 369.36,0.43
260,МТС,Телекомы,I полугодие 2024,0.0,0%,227.15,12.10.2024,520 506.75,0.57
261,НЛМК,Металлы и добыча,I квартал 2025,0.0,0%,166.0,23.06.2025,994 875.72,0.07
262,Куйбышевазот-п,Химия,9 месяцев 2024,0.0,0%,551.0,12.12.2024,126 369.36,0.43
263,ОГК-2,Энергетика,годовые 2024,0.0,0%,0.4477,10.07.2025,49 444.51,0.35
264,Распадская,Уголь,I полугодие 2024,0.0,0%,269.3,04.10.2024,179 282.14,0.0
265,ГК Самолет,Строительство,I квартал 2024,0.0,0%,2750.0,11.07.2025,169 343.23,0.0
266,HeadHunter,Пром. услуги,годовые 2024,0.0,0%,4385.0,10.06.2025,222 037.63,0.0
267,Делимобиль,Транспорт,годовые 2024,0.0,0%,274.2,19.06.2025,48 217.81,0.0
268,Сегежа,Разное,всего 12м,0.0,0%,2.27,,35 584.92,0.0
269,Распадская,Уголь,9 месяцев 2024,0.0,0%,269.3,18.01.2025,179 282.14,0.0
270,ТГК-1,Энергетика,годовые 2024,0.0,0%,0.007484,07.07.2025,43 552.44,0.0
271,Русал,Металлы и добыча,I полугодие 2024,0.0,0%,34.81,20.10.2024,528 944.81,0.0
272,ТКС Холдинг,Финансы и Банки,II квартал 2024,0.0,0%,2638.5,28.10.2024,525 867.54,0.0
273,Юнипро,Энергетика,годовые 2024,0.0,0%,1.81,13.05.2025,113 929.01,0.0
274,НКНХ-ао,Химия,I полугодие 2024,0.0,0%,89.3,05.12.2024,159 130.81,0.5
275,ТКС Холдинг,Финансы и Банки,I квартал 2024,0.0,0%,2638.5,21.08.2024,525 867.54,0.0
276,ОКЕЙ,Розничная торговля,годовые 2024,0.0,0%,26.35,22.06.2025,2 706.38,0.0
277,ВСМПО-АВИСМА,Металлы и добыча,I полугодие 2024,0.0,0%,29940.0,11.10.2024,345 194.37,0.15
278,Юнипро,Энергетика,всего 12м,0.0,0%,1.81,,113 929.01,0.0
279,Полюс,Металлы и добыча,годовые 2024,0.0,0%,12910.0,16.06.2025,1 756 655.95,0.0
280,ЭЛ5-Энерго (Энел Россия),Энергетика,годовые 2024,0.0,0%,0.557,28.04.2025,19 702.15,0.0
281,Россети Сибирь (МРСК Сибири),Энергетика,годовые 2023,0.0,0%,0.5995,24.08.2024,56 841.69,0.0
282,Россети СК (МРСК СК),Энергетика,годовые 2023,0.0,0%,20.84,11.09.2024,43 625.50,0.0
283,Россети Юг (МРСК Юга),Энергетика,годовые 2024,0.0,0%,0.0687,19.06.2025,10 417.77,0.0
284,Сегежа,Разное,9 месяцев 2024,0.0,0%,2.27,08.01.2025,35 584.92,0.0
285,Сегежа,Разное,годовые 2024,0.0,0%,2.27,02.06.2025,35 584.92,0.0
286,М.Видео,Розничная торговля,всего 12м,0.0,0%,144.1,,25 904.60,0.0
287,ТКС Холдинг,Финансы и Банки,всего 12м,0.0,0%,2638.5,,525 867.54,0.0
288,Россети Юг (МРСК Юга),Энергетика,всего 12м,0.0,0%,0.0687,,10 417.77,0.0
289,ПИК,Строительство,годовые 2024,0.0,0%,759.6,03.06.2025,501 713.78,0.0
290,Лента,Розничная торговля,годовые 2024,0.0,0%,1173.0,07.07.2025,136 050.64,0.0
291,МКБ,Финансы и Банки,годовые 2024,0.0,0%,6.75,07.06.2025,225 483.39,0.0
292,Химпром-п,Химия,9 месяцев 2024,0.0,0%,26.48,17.01.2025,6 080.64,0.2
293,МГТС,Телекомы,годовые 2024,0.0,0%,1360.0,15.05.2025,123 824.86,0.0
294,ФСК Россети,Энергетика,годовые 2024,0.0,0%,0.1003,30.05.2025,211 980.05,0.0
295,Юнипро,Энергетика,9 месяцев 2024,0.0,0%,1.81,17.12.2024,113 929.01,0.0
296,КазаньОргсинтез-ао,Химия,9 месяцев 2024,0.0,0%,94.5,15.12.2024,171 477.47,0.57
297,ПИК,Строительство,I полугодие 2024,0.0,0%,759.6,12.10.2024,501 713.78,0.0
298,ПИК,Строительство,всего 12м,0.0,0%,759.6,,501 713.78,0.0
299,Магнит,Розничная торговля,специальные,0.0,0%,5747.0,10.06.2025,585 684.56,0.29
300,НЛМК,Металлы и добыча,II квартал 2024,0.0,0%,166.0,07.09.2024,994 875.72,0.07
301,НЛМК,Металлы и добыча,III квартал 2024,0.0,0%,166.0,11.01.2025,994 875.72,0.07
302,Globaltrans,Логистика,II полугодие 2024,0.0,0%,601.1,29.04.2025,61 390.26,0.0
