,TRADE_CODE,issue_date,stopped_date
750,RU000A104A39,2021-12-17,
751,XHOUSE,2024-12-27,
752,RU000A10BYZ3,2025-07-04,
753,RU000A10EYY0,2026-04-28,
754,RU000A10ES32,2026-04-07,
755,RU000A10ES16,2026-04-07,
756,RU000A10CWF7,2025-09-30,
757,RU000A10DSL1,2025-12-12,
758,RU000A10DSM9,2025-12-12,
759,RU000A10EYV6,2026-04-28,
760,RU000A10EYW4,2026-04-28,
761,RU000A10AEG7,2024-12-20,
762,RU000A10AYW2,2025-02-25,
763,RU000A10B4J5,2025-03-21,
764,RU000A10BFJ6,2025-04-18,
765,RU000A10BPN7,2025-05-29,
766,RU000A10BU07,2025-06-20,
767,RU000A10BV71,2025-06-24,
768,RU000A10C8A4,2025-07-31,
769,RU000A10CH11,2025-08-21,
770,RU000A10CQA0,2025-09-12,
771,RU000A10CTH9,2025-09-25,
772,RU000A10DEQ0,2025-11-14,
773,RU000A10DZK8,2025-12-26,
774,RU000A10ECX8,2026-02-25,
775,RU000A109LC8,2024-09-24,
776,RU000A10A6W4,2024-11-29,
777,RU000A10ASE2,2025-01-31,
778,RU000A10BQ60,2025-06-02,
779,RU000A106R95,2023-08-18,
780,RU000A10A7S0,2024-12-04,
781,RU000A10CU89,2025-09-26,
782,RU000A10EEZ9,2026-03-04,
783,RU000A103G00,2021-07-28,
784,RU000A105M91,2022-12-16,
785,RU000A1082Y8,2024-04-05,
786,RU000A10B2X0,2025-03-21,
787,RU000A0JWUB5,2016-09-29,
788,RU000A0JX2F6,2016-12-20,
789,RU000A0JX2D1,2016-12-20,
790,RU000A0JWGS8,2016-05-18,
791,RU000A0JWNB0,2016-07-21,
792,RU000A10AC18,2024-12-16,
793,RU000A10DYC8,2025-12-23,
794,RU000A0ZZTL5,2018-11-15,
795,RU000A10C725,2025-07-28,
796,RU000A10CSG3,2025-09-19,
797,RU000A10DQL5,2025-12-08,
798,RU000A10E7W8,2026-02-09,
799,RU000A10ENS5,2026-03-26,
800,RU000A108WY1,2024-07-05,
801,RU000A10AFX9,2024-12-24,
802,RU000A10B0C8,2025-03-05,
803,RU000A10B4D8,2025-03-20,
804,RU000A10BQD6,2025-06-03,
805,RU000A1087A7,2024-04-09,
806,RU000A10AFT7,2024-12-24,
807,RU000A10B0Z9,2025-03-07,
808,RU000A10C0V7,2025-07-08,
809,RU000A10EQ42,2026-03-30,
810,RU000A105VU7,2023-02-22,
811,RU000A109SP5,2024-10-15,
812,RU000A103QH9,2021-09-21,
813,RU000A10BAP4,2025-04-11,
814,RU000A10DA74,2025-11-21,
815,RU000A10EST2,2026-04-10,
816,RU000A10E291,2025-12-29,
817,RU000A10EA40,2026-02-20,
818,RU000A10DCF7,2025-11-01,
819,RU000A10DCG5,2025-11-01,
820,RU000A105CM4,2022-11-01,
821,RU000A106SP1,2023-08-29,
822,RU000A107W06,2024-03-07,
823,RU000A10BBE6,2025-04-11,
824,RU000A108Z93,2024-07-12,
825,RU000A10CQE2,2025-09-12,
826,RU000A10DTG9,2025-12-16,
827,RU000A10EML2,2026-03-20,
828,RU000A0JVD66,2015-04-29,
829,RU000A0JXZC0,2017-08-18,
830,RU000A100030,2018-12-27,
831,RU000A103NU9,2021-09-14,
832,RU000A106FR4,2023-06-29,
833,RU000A104XR2,2022-07-07,
834,RU000A106J20,2023-07-12,
835,RU000A106R53,2023-08-16,
836,RU000A106C92,2023-06-06,
837,RU000A106XM8,2023-09-22,
838,RU000A10EPR2,2026-03-27,
839,RU000A10EPQ4,2026-03-27,
840,RU000A101T56,2020-06-16,
841,RU000A101UE2,2020-06-29,
842,RU000A101780,2019-12-19,
843,RU000A10DY84,2025-12-23,
844,RU000A1076U8,2023-11-10,
845,RU000A107RH8,2024-02-07,
846,RU000A1089K2,2024-04-12,
847,RU000A1094G0,2024-07-30,
848,RU000A108VW7,2024-07-02,
849,RU000A109JZ3,2024-09-17,
850,RU000A109JY6,2024-09-17,
851,RU000A10BLH8,2025-05-16,
852,RU000A10CSD0,2025-09-19,
853,RU000A10ERG1,2026-04-03,
854,ETLN,2020-02-03,
855,RU000A10BF48,2025-04-21,
856,RU000A10CMT9,2025-09-09,
857,RU000A10DDR0,2025-11-18,
858,RU000A105ND0,2022-12-22,
859,RU000A108U72,2024-06-26,
860,RU000A10E804,2026-02-13,
861,RU000A10EMF4,2026-03-20,
862,RU000A108KU4,2024-05-31,
863,RU000A10DZU7,2025-12-26,
864,RU000A10DZT9,2025-12-26,
865,XACCSK,2025-12-23,
866,RU000A10DJ18,2025-11-24,
867,RU000A10DJ00,2025-11-24,
868,RU000A10EK71,2026-03-16,
869,RU000A107UU5,2024-03-07,
870,RU000A10A3C3,2024-11-18,
871,RU000A10C8F3,2025-08-08,
872,RU000A10B313,2025-03-19,
873,RU000A10EC63,2026-02-26,
874,RU000A10EPW2,2026-03-27,
875,RU000A102952,2020-10-20,
876,RU000A106EZ0,2023-06-30,
877,RU000A107D33,2023-12-14,
878,RU000A109KX6,2024-09-25,
879,RU000A10AV15,2025-02-13,
880,RU000A10B2T8,2025-03-14,
881,RU000A10C634,2025-07-24,
882,RU000A10DA41,2025-10-28,
883,RU000A10EES4,2026-03-03,
884,RU000A10EYJ1,2026-04-28,
885,RU000A106HB4,2023-07-06,
886,RU000A109HX2,2024-09-12,
887,RU000A10BS76,2025-06-11,
888,RU000A10E6D0,2026-01-29,
889,RU000A10EYU8,2026-04-28,
890,RU000A106375,2023-04-12,
891,RU000A108BN8,2024-04-24,
892,RU000A108JV4,2024-05-28,
893,RU000A108MZ9,2024-06-10,
894,RU000A101QN1,2020-06-02,
895,RU000A109K65,2024-09-18,
896,RU000A106672,2023-04-27,
897,RU000A106AT1,2023-05-30,
898,RU000A10D2Q2,2025-10-10,
899,RU000A10DLE1,2025-11-26,
900,RU000A107050,2023-10-10,
901,RU000A107084,2023-10-10,
902,RU000A107ET1,2023-12-19,
903,RU000A10BBW8,2025-04-15,
904,RU000A107T27,2024-02-19,
905,RU000A10BFM0,2025-04-18,
906,RU000A1087J8,2024-04-09,
907,RU000A10BPP2,2025-05-29,
908,RU000A109080,2024-07-19,
909,RU000A10BY03,2025-07-01,
910,RU000A1094X5,2024-08-01,
911,RU000A10CSZ3,2025-09-23,
912,RU000A10CT25,2025-09-23,
913,RU000A10CP52,2025-09-09,
914,RU000A10E9Y0,2026-02-13,
915,RU000A10DT08,2025-12-15,
916,RU000A10ECM1,2026-02-24,
917,RU000A10ES57,2026-04-08,
918,RU000A10EFX1,2026-03-05,
919,RU000A10CTB2,2025-09-24,
920,RU000A10B487,2025-03-20,
921,RU000A109U06,2024-10-22,
922,RU000A108G05,2024-05-21,
923,RU000A10B3Z3,2025-03-18,
924,RU000A10CKZ0,2025-08-27,
925,RU000A10D806,2025-10-24,
926,RU000A10EQ75,2026-03-30,
927,RU000A10BQV8,2025-06-05,
928,RU000A103RL9,2021-09-24,
929,RU000A109DV5,2024-09-03,
930,RU000A10A4N8,2024-11-22,
931,RU000A10B4A4,2025-03-20,
932,RU000A1022E6,2020-08-27,
933,RU000A10DJY3,2025-11-24,
934,RU000A106EP1,2023-06-23,
935,RU000A10CJ92,2025-08-26,
936,RU000A10D7Z2,2025-10-24,
937,RU000A10AFB5,2024-12-23,
938,RU000A103QK3,2021-09-21,
939,RU000A10EXJ3,2026-04-22,
940,RU000A10EXK1,2026-04-22,
941,RU000A10AHB1,2024-12-26,
942,RU000A10AHE5,2024-12-26,
943,RU000A10AYD2,2025-02-21,
944,RU000A10AYF7,2025-02-21,
945,RU000A10BFL2,2025-04-18,
946,RU000A10BY45,2025-07-02,
947,RU000A10CMQ5,2025-09-03,
948,RU000A102BK7,2020-11-06,
949,RU000A106AH6,2023-05-29,
950,RU000A1084E6,2024-03-29,
951,RU000A10B2J9,2025-03-13,
952,RU000A10CCN3,2025-08-13,
953,RU000A105146,2022-08-05,
954,RU000A10AA10,2024-12-09,
955,RU000A1035H1,2021-05-31,
956,RU000A104V26,2022-06-07,
957,RU000A105HH3,2022-11-28,
958,RU000A0JWVT5,2016-10-14,
959,RU000A1075J3,2023-11-01,
960,RU000A102K39,2020-12-21,
961,RU000A106GH3,2023-07-04,
962,RU000A103C53,2021-07-02,
963,RU000A106DP3,2023-06-16,
964,RU000A10AHC9,2024-12-26,
965,RU000A108C74,2024-04-26,
966,RU000A108UR9,2024-06-28,
967,RU000A10E1Z4,2025-12-26,
968,RU000A10BVR6,2025-06-26,
969,RU000A10D4W6,2025-10-21,
970,RU000A10DQ68,2025-12-05,
971,RU000A10EMS7,2026-03-23,
972,RU000A1099V8,2024-08-23,
973,RU000A10AHM8,2024-12-27,
974,RU000A10B3W0,2025-03-18,
975,RU000A10BPV0,2025-05-30,
976,RU000A10BXX0,2025-07-01,
977,RU000A10C899,2025-07-31,
978,RU000A10CSL3,2025-09-22,
979,RU000A10DSV0,2025-12-15,
980,RU000A10E4H6,2026-01-20,
981,RU000A10D4G9,2025-10-17,
982,RU000A10DTS4,2025-12-17,
983,RU000A10DTT2,2025-12-17,
984,RU000A10E9W4,2026-02-13,
985,RU000A10EPP6,2026-03-27,
986,RU000A10AHN6,2024-12-27,
987,RU000A10BLQ9,2025-05-20,
988,RU000A10BV48,2025-06-24,
989,RU000A10D4H7,2025-10-17,
990,RU000A10F0V4,2026-04-29,
991,RU000A1084B2,2024-03-29,
992,RU000A10B8M0,2025-04-07,
993,RU000A10BZQ9,2025-07-07,
994,RU000A10C2L4,2025-07-15,
995,RU000A10EK06,2026-03-16,
996,RU000A101NK4,2020-07-23,
997,RU000A10EJZ8,2026-03-16,
998,RU000A10EKY9,2026-03-17,
999,RU000A106KW4,2023-07-20,
1000,RU000A1071U9,2023-10-18,
1001,RU000A108C58,2024-04-26,
1002,RU000A1092S9,2024-07-25,
1003,RU000A10D3A4,2025-10-14,
1004,RU000A10EX68,2026-04-21,
1005,RU000A10AHP1,2024-12-27,
1006,RU000A10BVY2,2025-06-26,
1007,RU000A10BWA0,2025-06-27,
1008,PRMD,2024-07-12,
1009,HNFG,2023-11-02,
1010,RU000A10BQC8,2025-06-03,
1011,RU000A105RW1,2023-01-25,
1012,RU000A106169,2023-03-30,
1013,RU000A10DHX9,2025-11-19,
1014,RU000A103QQ0,2021-09-22,
1015,RU000A109KW8,2024-09-20,
1016,AKRN,2006-10-11,
1017,RU000A0JWV89,2016-10-06,
1018,RU000A10DBZ7,2025-10-31,
1019,RU000A0JXSS1,2017-06-06,
1020,RU000A10E6T6,2026-02-03,
1021,RU000A10F108,2026-04-30,
1022,RU000A108JH3,2024-05-24,
1023,RU000A109XR1,2024-10-29,
1024,RU000A10AA28,2024-12-09,
1025,RU000A10B347,2025-03-14,
1026,RU000A10BGH8,2025-04-24,
1027,RU000A10BRM5,2025-06-06,
1028,APTK,2005-12-21,
1029,RU000A1015T8,2019-12-13,
1030,RU000A101T72,2020-06-16,
1031,RU000A10B7H2,2025-04-01,
1032,ABIO,2006-05-23,
1033,BTBR,2026-04-17,
1034,WUSH,2022-12-14,
1035,OGKB,2007-06-22,
1036,RU000A101WR0,2020-07-15,
1037,RU000A105XE7,2023-03-10,
1038,RU000A105YK2,2023-03-17,
1039,RU000A105WK6,2023-03-02,
1040,RU000A105W81,2023-02-27,
1041,RU000A105TY3,2023-02-10,
1042,RU000A105WP5,2023-03-03,
1043,RU000A105X80,2023-03-09,
1044,RU000A105YV9,2023-03-17,
1045,GLRX,2025-10-31,
1046,BAZA,2025-12-10,
1047,RU000A10D483,2025-10-16,
1048,RU000A10DA66,2025-10-28,
1049,RU000A10DRF5,2025-12-09,
1050,RU000A10E630,2026-01-28,
1051,RU000A10EJA1,2026-03-12,
1052,RU000A10EVJ7,2026-04-16,
1053,RU000A10F4F9,2026-05-07,
1054,RU000A109B33,2024-08-28,
1055,RU000A10BK09,2025-05-07,
1056,RU000A10BK17,2025-05-07,
1057,RU000A105NL3,2022-12-22,
1058,RU000A1083A6,2024-03-26,
1059,RU000A10B4K3,2025-03-21,
1060,RU000A10BQU0,2025-06-05,
1061,RU000A10BU23,2025-06-20,
1062,RU000A10BTU4,2025-06-19,
1063,RU000A10C8Q0,2025-08-01,
1064,RU000A10CRC4,2025-09-16,
1065,RU000A10CRD2,2025-09-16,
1066,RU000A10DLV5,2025-11-27,
1067,DATA,2024-10-01,
1068,RU000A109098,2024-07-19,
1069,RU000A10AHJ4,2024-12-27,
1070,RU000A10BWC6,2025-06-27,
1071,FESH,2008-08-28,
1072,DIAS,2024-02-13,
1073,IVAT,2024-06-04,
1074,RU000A10B3T6,2025-03-17,
1075,RU000A10CZ43,2025-10-02,
1076,KMAZ,2004-02-26,
1077,RU000A0ZZ7G1,2018-05-24,
1078,RU000A0ZZ7H9,2018-05-24,
1079,RU000A0ZZ885,2018-05-29,
1080,RU000A0ZZ877,2018-05-29,
1081,RU000A0ZZ893,2018-05-29,
1082,RU000A0JVP39,2015-08-06,
1083,RU000A0JW126,2015-12-24,
1084,RU000A0JX1C5,2016-12-12,
1085,RU000A0JX2B5,2016-12-20,
1086,RU000A10BU31,2025-06-20,
1087,RU000A10CQ77,2025-09-12,
1088,RU000A10CQ93,2025-09-12,
1089,RU000A10DP93,2025-12-02,
1090,RU000A10DPB8,2025-12-02,
1091,RU000A10EAC6,2026-02-16,
1092,RU000A10EN37,2026-03-24,
1093,RU000A10EN29,2026-03-24,
1094,DELI,2024-02-06,
1095,RU000A1090K0,2024-07-22,
1096,RU000A108QA3,2024-06-18,
1097,RU000A108Q94,2024-06-18,
1098,RU000A1094E5,2024-07-30,
1099,RU000A109SZ4,2024-10-17,
1100,RU000A10BG05,2025-04-22,
1101,RU000A10BFZ2,2025-04-22,
1102,RU000A10D1W2,2025-10-09,
1103,RU000A10EYX2,2026-04-28,
1104,RU000A10EYZ7,2026-04-28,
1105,RU000A101XS6,2020-07-22,
1106,RU000A101T64,2020-06-16,
1107,RU000A103PD0,2021-09-14,
1108,RU000A1007H0,2019-03-28,
1109,RU000A103PG3,2021-09-14,
1110,RU000A1013U1,2019-11-28,
1111,RU000A1043J1,2021-11-23,
1112,RU000A10EW44,2026-04-17,
1113,RASP,2006-11-14,
1114,MRKV,2008-05-23,
1115,RU000A10DYB0,2025-12-23,
1116,RU000A107EC7,2023-12-18,
1117,MSRS,2006-02-09,
1118,RU000A107DP1,2023-12-14,
1119,RU000A108P61,2024-06-14,
1120,RU000A109S91,2024-10-11,
1121,RU000A10AFW1,2024-12-24,
1122,MRKZ,2008-05-29,
1123,RU000A10BQX4,2025-06-05,
1124,MRKU,2008-06-18,
1125,MRKP,2008-04-07,
1126,MRKC,2008-05-21,
1127,RU000A108GR8,2024-05-23,
1128,RU000A108LF3,2024-06-06,
1129,RU000A1095W4,2024-08-07,
1130,RU000A109916,2024-08-16,
1131,RU000A109JS8,2024-09-16,
1132,RU000A10ASS2,2025-02-03,
1133,RU000A10B214,2025-03-12,
1134,RU000A10BG13,2025-04-22,
1135,RU000A10BSL5,2025-06-11,
1136,RU000A10BTC2,2025-06-18,
1137,RU000A10CMD3,2025-09-02,
1138,RU000A10CT41,2025-09-23,
1139,RU000A10DCJ9,2025-11-01,
1140,RU000A10E739,2026-02-04,
1141,RU000A10EBE0,2026-02-18,
1142,RU000A10EN60,2026-03-25,
1143,RU000A10ETL7,2026-04-14,
1144,RU000A103DS4,2021-07-13,
1145,RU000A103T70,2021-10-04,
1146,RU000A103T96,2021-10-04,
1147,RU000A103TA8,2021-10-04,
1148,RU000A103TC4,2021-10-04,
1149,RU000A103TB6,2021-10-04,
1150,RU000A103T88,2021-10-04,
1151,RU000A103T54,2021-10-04,
1152,SVAV,2005-04-22,
1153,RU000A109LG9,2024-09-30,
1154,RU000A109X37,2024-11-11,
1155,RU000A10AS85,2025-02-11,
1156,RU000A10B0E4,2025-03-12,
1157,RU000A1062M5,2023-04-07,
1158,RU000A106XD7,2023-10-12,
1159,RU000A10B1X2,2025-03-11,
1160,RU000A10B933,2025-04-08,
1161,RU000A10C5L7,2025-07-22,
1162,RU000A10C5K9,2025-07-22,
1163,RU000A10D3S6,2025-10-15,
1164,RU000A10D3X6,2025-10-15,
1165,RU000A10DTF1,2025-12-16,
1166,RU000A10DTA2,2025-12-16,
1167,RU000A10EC22,2026-02-19,
1168,RU000A10EXW6,2026-04-23,
1169,SOFL,2023-09-25,
1170,RU000A10EA08,2026-02-13,
1171,SNGS,2005-01-11,
1172,SNGSP,2005-01-11,
1173,RU000A10DZJ0,2025-12-26,
1174,TGKN,2007-01-25,
1175,RU000A109E71,2024-09-04,
1176,RU000A10DG86,2025-11-18,
1177,RU000A10F470,2026-05-06,
1178,RU000A0JXK99,2017-03-06,
1179,RU000A0JXVB1,2017-07-10,
1180,RU000A10ECG3,2026-02-20,
1181,RU000A0ZYEB1,2017-10-26,
1182,RU000A103M36,2021-08-30,
1183,RU000A103WM7,2021-10-21,
1184,RU000A106J38,2023-07-12,
1185,TRMK,2007-04-10,
1186,RU000A10EAS2,2026-02-17,
1187,RU000A0JXTY7,2017-06-20,
1188,RU000A10A349,2024-11-14,
1189,RU000A10A6B8,2024-11-28,
1190,RU000A10A6C6,2024-11-28,
1191,RU000A10A8H1,2024-12-05,
1192,RU000A10AEB8,2024-12-19,
1193,RU000A10BRR4,2025-06-09,
1194,RU000A10CC24,2025-08-11,
1195,RU000A10D3C0,2025-10-14,
1196,RU000A10D3B2,2025-10-14,
1197,RU000A10D9M6,2025-10-28,
1198,RU000A10E5X0,2026-01-27,
1199,RU000A10EPX0,2026-03-27,
1200,RU000A10BNF8,2025-05-23,
1201,RU000A0JSQ58,2012-08-08,
1202,RU000A0ZYJ91,2017-12-06,
1203,RU000A1056S4,2022-09-23,
1204,RU000A105DN0,2022-11-08,
1205,RU000A105DR1,2022-11-08,
1206,RU000A109528,2024-08-02,
1207,RU000A109ZQ8,2024-11-01,
1208,RU000A10ASB8,2025-01-31,
1209,RU000A10BT34,2025-06-17,
1210,RU000A10D4F1,2025-10-17,
1211,RU000A10DM96,2025-11-28,
1212,UGLD,2023-11-22,
1213,RU000A10B008,2025-03-04,
1214,RU000A10D4P0,2025-10-20,
1215,RU000A1070L0,2023-10-13,
1216,RU000A109NF7,2024-09-30,
1217,RU000A10BBD8,2025-04-11,
1218,RU000A103AT8,2021-06-25,
1219,RU000A109UD7,2024-10-23,
1220,RU000A10B3A6,2025-03-17,
1221,RU000A10BFG2,2025-04-17,
1222,RU000A10C3M0,2025-07-18,
1223,RU000A10C6L5,2025-07-25,
1224,RU000A10CT33,2025-09-23,
1225,RU000A10DPS2,2025-12-04,
1226,RU000A10DYG9,2025-12-24,
1227,RU000A10EJQ7,2026-03-13,
1228,RU000A108NS2,2024-06-11,
1229,RU000A1099E4,2024-08-20,
1230,RU000A1038D4,2021-06-11,
1231,RU000A106CU5,2023-06-09,
1232,RU000A106EM8,2023-06-23,
1233,RU000A107CD9,2023-12-27,
1234,RU000A108777,2024-04-23,
1235,RU000A108P46,2024-06-24,
1236,RU000A109551,2024-09-09,
1237,RU000A10A3W1,2024-11-26,
1238,RU000A10ATW2,2025-02-28,
1239,RU000A10BJX9,2025-05-30,
1240,RU000A10BZJ4,2025-07-21,
1241,RU000A10CC32,2025-09-12,
1242,RU000A10D616,2025-11-28,
1243,RU000A10DK98,2025-11-25,
1244,RU000A10DUQ6,2026-03-27,
1245,RU000A10DUR4,2026-02-26,
1246,RU000A0JTU85,2013-04-09,
1247,RU000A0JUAH8,2013-11-26,
1248,RU000A0JVY04,2015-11-16,
1249,RU000A0ZZ4P9,2018-04-23,
1250,RU000A0ZZGT5,2018-08-16,
1251,RU000A0ZZRY2,2018-11-02,
1252,RU000A1009L8,2019-04-17,
1253,RU000A101H84,2020-03-04,
1254,RU000A101LS1,2020-04-23,
1255,RU000A101M04,2020-04-24,
1256,RU000A103EN3,2021-07-19,
1257,RU000A104SX0,2022-05-06,
1258,RU000A104SY8,2022-05-06,
1259,RU000A108Z85,2024-07-15,
1260,RU000A109PF2,2024-10-02,
1261,RU000A10ASY0,2025-02-04,
1262,RU000A10ASZ7,2025-02-04,
1263,RU000A10AUE8,2025-02-11,
1264,RU000A10AZ45,2025-02-26,
1265,RU000A10AZ60,2025-02-26,
1266,RU000A10B0T2,2025-03-06,
1267,RU000A10B115,2025-03-07,
1268,RU000A10B495,2025-03-20,
1269,RU000A10BGF2,2025-04-24,
1270,RU000A10BTA6,2025-06-18,
1271,RU000A10C8C0,2025-07-31,
1272,RU000A10CDZ5,2025-08-14,
1273,RU000A10D1H3,2025-10-07,
1274,RU000A10D541,2025-10-21,
1275,RU000A10D5C5,2025-10-22,
1276,RU000A10DJR7,2025-11-21,
1277,RU000A10DZW3,2025-12-26,
1278,RU000A10E8P0,2026-02-11,
1279,RU000A10EN11,2026-03-24,
1280,RU000A10EQ83,2026-03-30,
1281,RU000A10F0T8,2026-04-29,
1282,RU000A10DCM3,2025-11-01,
1283,VSMO,2004-11-11,
1284,RU000A108G70,2024-05-22,
1285,RU000A0JX355,2016-12-23,
1286,RU000A0JX413,2016-12-29,
1287,RU000A103FC3,2021-07-23,
1288,RU000A0JWB59,2016-03-25,
1289,RU000A101ES6,,
1290,RU000A106ZK7,2023-10-06,
1291,RU000A101EQ0,2021-11-26,
1292,RU000A103K38,2021-11-26,
1293,RU000A0ZZFZ4,2018-08-10,
1294,RU000A106YH6,2023-09-27,
1295,RU000A107AS1,2023-12-28,
1296,RU000A107A28,2023-11-28,
1297,RU000A10CF88,2025-08-26,
1298,RU000A107GG3,2024-01-31,
1299,RU000A107F49,2023-12-20,
1300,RU000A10CQG7,2025-09-25,
1301,RU000A107Q95,2024-02-29,
1302,RU000A107UA7,2024-03-05,
1303,RU000A10D491,2025-10-30,
1304,RU000A107VZ2,2024-03-29,
1305,RU000A1097S8,2024-08-13,
1306,RU000A10DMP5,2025-12-16,
1307,RU000A1084F3,2024-04-26,
1308,RU000A10EH76,2026-03-16,
1309,RU000A1087C3,2024-04-09,
1310,RU000A108CG0,2024-05-31,
1311,RU000A108CH8,2024-05-30,
1312,RU000A108LS6,2024-06-28,
1313,RU000A108UM0,2024-07-31,
1314,RU000A1094P1,2024-08-30,
1315,RU000A109DK8,2024-09-30,
1316,RU000A109EG4,2024-10-31,
1317,RU000A108VL0,2024-07-01,
1318,RU000A109YM0,2024-11-29,
1319,RU000A10AA44,2024-12-26,
1320,RU000A10AG30,2025-01-31,
1321,RU000A10ANY1,2025-02-28,
1322,RU000A10AZ78,2025-03-31,
1323,RU000A10B5S3,2025-04-30,
1324,RU000A10BF63,2025-05-30,
1325,RU000A10BPC0,2025-06-27,
1326,RU000A10BPD8,2025-06-30,
1327,RU000A10BVN5,2025-07-31,
1328,RU000A10C2N0,2025-07-31,
1329,RU000A10C7E8,2025-08-15,
1330,RU000A10CAU2,2025-09-05,
1331,RU000A10CCL7,2025-09-04,
1332,RU000A10CL23,2025-09-16,
1333,RU000A10CQH5,2025-09-30,
1334,RU000A10CQJ1,2025-09-30,
1335,RU000A10CV39,2025-10-16,
1336,RU000A10D2V2,2025-10-31,
1337,RU000A10D2W0,2025-10-31,
1338,RU000A10D6L4,2025-11-28,
1339,RU000A10DFL8,2025-12-29,
1340,RU000A10DQ19,2025-12-26,
1341,RU000A10DZB7,2026-01-30,
1342,RU000A10E3Z0,2026-02-05,
1343,RU000A10E5V4,2026-02-27,
1344,RU000A10E7Y4,2026-02-27,
1345,RU000A10EDE6,2026-03-31,
1346,RU000A10ELA7,2026-03-31,
1347,RU000A0JXT58,2017-06-14,
1348,RU000A107VV1,2024-02-29,
1349,RU000A108NQ6,2024-06-11,
1350,RU000A108LX6,2024-06-07,
1351,RU000A108L24,2024-06-03,
1352,RU000A0ZZE87,2018-07-24,
1353,RU000A101YW6,,
1354,RU000A101YX4,,
1355,RU000A0JV3K6,,
1356,RDRB,2013-10-31,
1357,RU000A1085A1,2024-04-26,
1358,RU000A10CP11,2025-09-26,
1359,RU000A10DQ92,2025-12-10,
1360,OKEY,2020-12-14,
1361,XS1843437036,2019-05-23,
1362,XS2384174228,2021-09-15,
1363,VEON-RX,2021-11-26,
1364,RU000A108BD9,2024-04-23,
1365,RU000A108JQ4,2024-05-27,
1366,RU000A108N55,2024-06-10,
1367,RU000A108Q29,2024-06-17,
1368,RU000A10BFQ1,2025-04-25,
1369,RU000A10DBP8,2025-11-13,
1370,RU000A10DCN1,2025-11-24,
1371,RU000A10EFL6,2026-03-24,
1372,RU000A10EMX7,2026-03-27,
1373,RU000A10EFM4,,
1374,RU000A100GW5,2019-06-27,
1375,RU000A106E33,2023-08-31,
1376,RU000A106VS9,2023-10-31,
1377,RU000A1074T5,2023-11-30,
1378,RU000A107977,2025-01-31,
1379,RU000A107JV6,2024-01-16,
1380,RU000A108314,2025-10-31,
1381,RU000A109K81,2024-09-20,
1382,RU000A109WZ6,2024-10-29,
1383,RU000A109YT5,2024-11-01,
1384,RU000A10A7W2,2024-12-27,
1385,RU000A10B6W3,2025-08-29,
1386,RU000A10B6Y9,2025-09-15,
1387,RU000A10B6Z6,2025-10-10,
1388,RU000A107AM4,2023-11-30,
1389,RU000A10BYA6,2025-07-18,
1390,RU000A107TH4,2024-02-21,
1391,RU000A10BYB4,2026-01-30,
1392,RU000A10CHR3,2026-02-18,
1393,RU000A10CHS1,2026-02-18,
1394,RU000A108BB3,2024-04-22,
1395,RU000A10D3U2,2025-10-17,
1396,RU000A10DS66,2025-12-16,
1397,RU000A10D3V0,2025-10-31,
1398,RU000A10E7Q0,2026-02-06,
1399,RU000A10D3W8,2025-11-28,
1400,RU000A10D3Y4,2025-11-21,
1401,RU000A10D3Z1,2026-02-26,
1402,RU000A10E788,2026-04-08,
1403,RU000A10E7M9,2026-02-20,
1404,RU000A10E7N7,2026-02-20,
1405,RU000A10E7P2,2026-03-19,
1406,RU000A10EJD5,2026-04-08,
1407,RU000A10EJE3,2026-04-30,
1408,RU000A0JX5W4,2017-01-23,
1409,RU000A0ZYBM4,2017-10-02,
1410,RU000A0ZYWB3,2018-03-06,
1411,RU000A0ZYU21,2018-02-21,
1412,RU000A108Y60,2024-07-09,
1413,RU000A10E9V6,2026-02-13,
1414,RU000A103JK8,2021-09-10,
1415,RU000A0ZZVH9,2019-02-12,
1416,RU000A104FB3,2023-12-13,
1417,XHEDGE,2026-04-10,
1418,RU000A1075T2,2023-12-13,
1419,RU000A109QR5,2024-11-11,
1420,RU000A10AQT4,2025-05-20,
1421,XKLUCH,2026-03-20,
1422,RU000A109UE5,2024-10-23,
1423,RU000A10EPU6,2026-03-27,
1424,RU000A103PC2,2021-09-14,
1425,RU000A106K35,2023-07-25,
1426,RU000A108JC4,2024-06-11,
1427,RU000A108JD2,2024-06-24,
1428,RU000A10DC15,2025-11-20,
1429,RU000A10ERE6,2026-04-03,
1430,RU000A10ERH9,2026-04-03,
1431,RU000A107T76,2024-02-19,
1432,RU000A10CTK3,2025-09-25,
1433,RU000A10EK63,2026-03-16,
1434,RU000A105153,2023-09-18,
1435,RU000A107860,2024-02-07,
1436,RU000A106MG3,2024-02-07,
1437,RU000A1079J5,2024-02-07,
1438,RU000A108KP4,2024-08-16,
1439,XEQTRU,2025-11-01,
1440,XXRONE,2025-11-01,
1441,RU000A10EW51,2026-04-17,
1442,RU000A10E4Y1,2026-01-23,
1443,RU000A107AW3,2023-12-01,
1444,RU000A1090N4,2024-07-23,
1445,RU000A10B3S8,2025-03-21,
1446,RU000A10C2E9,2025-07-14,
1447,RU000A10CZC7,2025-10-06,
1448,RU000A106XJ4,2023-09-21,
1449,RU000A107QL2,2024-02-05,
1450,RU000A107QM0,2024-02-05,
1451,RU000A108GM9,2024-05-23,
1452,RU000A109B82,2024-08-29,
1453,RU000A109NR2,2024-10-01,
