,TRADE_CODE,issue_date,stopped_date
417,RU000A0ZYQY7,2018-02-02,
418,RU000A10DPV6,2025-12-04,
419,RU000A0ZYWU3,2018-03-07,
420,RU000A1005L6,2019-03-06,
421,RU000A1008J4,2019-04-05,
422,RU000A100N12,2019-07-29,
423,RU000A101012,2019-11-05,
424,RU000A10EE87,2026-02-27,
425,RU000A101Q26,2020-05-27,
426,RU000A101XN7,2020-07-22,
427,RU000A1023K1,2020-09-07,
428,RU000A102FS1,2020-12-07,
429,RU000A102FT9,2020-12-07,
430,RU000A102SV8,2021-03-01,
431,RU000A102SX4,2021-03-01,
432,RU000A103372,2021-05-12,
433,RU000A103C95,2021-07-05,
434,RU000A103P33,2021-09-13,
435,RU000A104693,2021-12-03,
436,RU000A105L27,2022-12-07,
437,RU000A106Z46,2023-10-03,
438,RU000A107GX8,2023-12-26,
439,RU000A107SM6,2024-02-15,
440,RU000A108GL1,2024-05-23,
441,RU000A108GN7,2024-05-23,
442,RU000A1098F3,2024-08-14,
443,AFLT,2004-02-13,
444,RU000A103943,2021-06-17,
445,RU000A10BGJ4,2025-04-24,
446,RU000A10CS75,2025-09-19,
447,VSEH,2024-07-05,
448,GAZP,2006-01-23,
449,GMKN,2006-12-26,
450,RAGR,2025-02-17,
451,LSRG,2007-11-09,
452,RU000A10EYH5,2026-04-28,
453,RU000A103PX8,2021-09-17,
454,RU000A106888,2023-05-17,
455,RU000A1082X0,2024-03-22,
456,RU000A10B0B0,2025-03-05,
457,RU000A10CKY3,2025-08-27,
458,POSI,2021-12-17,
459,RENI,2021-10-20,
460,RU000A10B4V0,2025-03-24,
461,RU000A10C5F9,2025-07-22,
462,RU000A1094F2,2024-07-30,
463,RU000A10B420,2025-03-19,
464,DOMRF,2025-11-20,
465,RU000A0JQAM6,2009-08-27,
466,RU000A0JTW83,2013-04-29,
467,RU000A0JTZF1,2013-06-25,
468,RU000A0JUKX4,2014-04-28,
469,RU000A0JV4R9,2015-01-13,
470,RU000A0ZYLU6,2017-12-25,
471,RU000A105MN1,2022-12-19,
472,RU000A0ZYQU5,2018-02-02,
473,RU000A0ZZ1N0,2018-04-06,
474,RU000A107GC2,2023-12-22,
475,RU000A0ZZ7C0,2018-05-23,
476,RU000A108FC2,2024-05-24,
477,RU000A0JX2R1,2016-12-23,
478,RU000A1004W6,2019-03-01,
479,RU000A109U97,2024-10-22,
480,RU000A0ZYF20,2017-11-08,
481,RU000A100ET6,2019-06-06,
482,RU000A10CM22,2025-08-29,
483,RU000A0ZYF38,2017-11-08,
484,RU000A101590,2019-12-06,
