,текущая доходность,доля от прибыли,индекс DSI,page_url,ticker
0,17.7%,39.69%,0.07,https://www.dohod.ru/ik/analytics/dividend/nlmk,NLMK
0,5.84%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/hnfg,HNFG
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/rnft,RNFT
0,10.35%,22.5%,0,https://www.dohod.ru/ik/analytics/dividend/agro,AGRO
0,7.61%,3.65%,0.57,https://www.dohod.ru/ik/analytics/dividend/rtkmp,RTKMP
0,20.11%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/fixp,FIXP
0,8.88%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/leas,LEAS
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/ugld,UGLD
0,14.1%,89.02%,0.07,https://www.dohod.ru/ik/analytics/dividend/chmf,CHMF
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/okey,OKEY
0,7.16%,30%,0.29,https://www.dohod.ru/ik/analytics/dividend/mrku,MRKU
0,10.06%,10.43%,0.5,https://www.dohod.ru/ik/analytics/dividend/lsngp,LSNGP
0,8.31%,38.24%,0.57,https://www.dohod.ru/ik/analytics/dividend/aqua,AQUA
0,7.6%,10%,0.79,https://www.dohod.ru/ik/analytics/dividend/krsbp,KRSBP
0,2.98%,19.59%,0.14,https://www.dohod.ru/ik/analytics/dividend/kmaz,KMAZ
0,2.38%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/wush,WUSH
0,1.35%,107.15%,0,https://www.dohod.ru/ik/analytics/dividend/astr,ASTR
0,1.3%,45.55%,0,https://www.dohod.ru/ik/analytics/dividend/cntl,CNTL
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/rasp,RASP
0,15.78%,58.08%,1,https://www.dohod.ru/ik/analytics/dividend/lkoh,LKOH
0,5.33%,50%,0.57,https://www.dohod.ru/ik/analytics/dividend/avan,AVAN
0,3.32%,16.6%,0,https://www.dohod.ru/ik/analytics/dividend/plzl,PLZL
0,2.33%,10%,0.29,https://www.dohod.ru/ik/analytics/dividend/krknp,KRKNP
0,1.23%,25.37%,0.71,https://www.dohod.ru/ik/analytics/dividend/abrd,ABRD
0,6.79%,81.53%,0.07,https://www.dohod.ru/ik/analytics/dividend/dias,DIAS
0,9.11%,56.83%,0.14,https://www.dohod.ru/ik/analytics/dividend/svav,SVAV
0,10.83%,94.75%,0.57,https://www.dohod.ru/ik/analytics/dividend/belu,BELU
0,11%,9.29%,0.64,https://www.dohod.ru/ik/analytics/dividend/trnfp,TRNFP
0,1%,0.15%,0.54,https://www.dohod.ru/ik/analytics/dividend/kzosp,KZOSP
0,6.74%,64.98%,0,https://www.dohod.ru/ik/analytics/dividend/mdmg,MDMG
0,5.75%,70%,0.93,https://www.dohod.ru/ik/analytics/dividend/ttlk,TTLK
0,2.25%,18.21%,0.5,https://www.dohod.ru/ik/analytics/dividend/lsng,LSNG
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mrky,MRKY
0,7.46%,35.14%,0.79,https://www.dohod.ru/ik/analytics/dividend/krsb,KRSB
0,6.6%,57.23%,0.57,https://www.dohod.ru/ik/analytics/dividend/rtkm,RTKM
0,6.74%,24.82%,0.07,https://www.dohod.ru/ik/analytics/dividend/svcb,SVCB
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/gltr,GLTR
0,7.87%,20.81%,0.29,https://www.dohod.ru/ik/analytics/dividend/bane,BANE
0,1.68%,23.53%,0.15,https://www.dohod.ru/ik/analytics/dividend/vsmo,VSMO
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/tcsg,TCSG
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/enpg,ENPG
0,11.36%,51.7%,0.71,https://www.dohod.ru/ik/analytics/dividend/sibn,SIBN
0,0%,0%,0.5,https://www.dohod.ru/ik/analytics/dividend/hydr,HYDR
0,1.7%,16.67%,0,https://www.dohod.ru/ik/analytics/dividend/deli,DELI
0,8.18%,50%,0.5,https://www.dohod.ru/ik/analytics/dividend/trmk,TRMK
0,9.36%,25%,0.64,https://www.dohod.ru/ik/analytics/dividend/irao,IRAO
0,18.29%,7.1%,0.5,https://www.dohod.ru/ik/analytics/dividend/sngsp,SNGSP
0,13.24%,31.21%,0.29,https://www.dohod.ru/ik/analytics/dividend/mrkp,MRKP
0,9.81%,50%,0,https://www.dohod.ru/ik/analytics/dividend/mbnk,MBNK
0,3.12%,20.99%,0.5,https://www.dohod.ru/ik/analytics/dividend/nknc,NKNC
0,10.29%,50%,0.71,https://www.dohod.ru/ik/analytics/dividend/rosn,ROSN
0,9.53%,71.53%,0.5,https://www.dohod.ru/ik/analytics/dividend/phor,PHOR
0,0%,0%,0.2,https://www.dohod.ru/ik/analytics/dividend/gazp,GAZP
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mtlr,MTLR
0,10.19%,47.65%,0.29,https://www.dohod.ru/ik/analytics/dividend/sber,SBER
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/cbom,CBOM
0,3.69%,45.02%,0.29,https://www.dohod.ru/ik/analytics/dividend/posi,POSI
0,1.22%,25%,0,https://www.dohod.ru/ik/analytics/dividend/elmt,ELMT
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/vtbr,VTBR
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/mrkk,MRKK
0,2.9%,2.28%,0.86,https://www.dohod.ru/ik/analytics/dividend/sngs,SNGS
0,11.32%,59.73%,0.71,https://www.dohod.ru/ik/analytics/dividend/tatn,TATN
0,14.47%,50%,0.07,https://www.dohod.ru/ik/analytics/dividend/zaym,ZAYM
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/fees,FEES
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/poly,POLY
0,15.88%,58.99%,0.14,https://www.dohod.ru/ik/analytics/dividend/flot,FLOT
0,6.02%,53.91%,0.57,https://www.dohod.ru/ik/analytics/dividend/kzos,KZOS
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/sgzh,SGZH
0,1.35%,40.13%,0.89,https://www.dohod.ru/ik/analytics/dividend/lvhk,LVHK
0,11.62%,4.04%,0.71,https://www.dohod.ru/ik/analytics/dividend/tatnp,TATNP
0,4.06%,47.08%,0.29,https://www.dohod.ru/ik/analytics/dividend/nkhp,NKHP
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/aflt,AFLT
0,0.78%,0.01%,0.39,https://www.dohod.ru/ik/analytics/dividend/bspbp,BSPBP
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/pikk,PIKK
0,12.08%,128.22%,0.57,https://www.dohod.ru/ik/analytics/dividend/mtss,MTSS
0,1.85%,15.18%,0.2,https://www.dohod.ru/ik/analytics/dividend/cntlp,CNTLP
0,17.91%,80%,0,https://www.dohod.ru/ik/analytics/dividend/gemc,GEMC
0,10.17%,2.21%,0.29,https://www.dohod.ru/ik/analytics/dividend/sberp,SBERP
0,3.87%,0.53%,0.43,https://www.dohod.ru/ik/analytics/dividend/kaztp,KAZTP
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/hhru,HHRU
0,0%,0%,0,https://www.dohod.ru/ik/analytics/dividend/tgka,TGKA
0,12.11%,82.37%,0.29,https://www.dohod.ru/ik/analytics/dividend/mgnt,MGNT
0,4.03%,2.85%,0.5,https://www.dohod.ru/ik/analytics/dividend/nkncp,NKNCP
