,Год,Дивиденд (руб.),Изм. к пред. году,page_url,ticker
1,2022,82.0,0%,https://www.dohod.ru/ik/analytics/dividend/smlt,SMLT
2,2021,82.0,,https://www.dohod.ru/ik/analytics/dividend/smlt,SMLT
0,след 12m. (прогноз),0.0662,0%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
1,2024,0.0662,+490.63%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
2,2023,0.0112,-83.47%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
3,2022,0.0678,+102.42%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
4,2021,0.0335,,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
5,2020,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
6,2019,0.0408,+96.04%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
7,2018,0.0208,-52.91%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
8,2017,0.0442,+309.4%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
9,2016,0.0108,-45.18%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
10,2015,0.0197,+994.44%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
11,2014,0.0018,-91.19%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
12,2013,0.0204,+104.4%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
13,2012,0.01,-30.89%,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
14,2011,0.0145,,https://www.dohod.ru/ik/analytics/dividend/mrkc,MRKC
0,след 12m. (прогноз),0.772,0%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
1,2024,0.772,-3.26%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
2,2023,0.798,+47.78%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
3,2022,0.54,,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
4,2021,0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
5,2020,1.35,+170%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
6,2019,0.5,-36.23%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
7,2018,0.784,+0.6667%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
8,2017,0.7788,+50.09%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
9,2016,0.5189,+122.14%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
10,2015,0.2336,+899.83%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
11,2014,0.0234,-1.08%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
12,2013,0.0236,+0.5106%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
13,2012,0.0235,+2.17%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
14,2011,0.023,-81.6%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
15,2010,0.125,+371.7%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
16,2009,0.0265,-20.9%,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
17,2008,0.0335,,https://www.dohod.ru/ik/analytics/dividend/nmtp,NMTP
0,след 12m. (прогноз),0.0,-100%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
1,2022,0.3748,+1.61%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
2,2021,0.3689,-25.36%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
3,2020,0.4942,+4.61%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
4,2019,0.4724,-21.85%,https://www.dohod.ru/ik/analytics/dividend/himcp,HIMCP
