,Акция,Сектор,Период,Выплата на акцию (прогноз),Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),"Капитализация, млн. USD",DSI
192,ЭсЭфАй (Сафмар),Финансы и Банки,годовые 2024,14.16,1.07%,1327.0,17.06.2025,148 143.35,0.14
193,КазаньОргСинтез-п,Химия,годовые 2023,0.25,1.02%,24.62,09.07.2024,192 345.05,0.54
194,КазаньОргсинтез-п,Химия,всего 12м,0.25,1.02%,24.62,,192 345.05,0.54
195,Группа Позитив,ПО и IT,9 месяцев 2024,26.64,0.87%,3073.0,03.12.2024,202 818.00,0.29
196,Акрон,Химия,9 месяцев 2024,133.31,0.85%,15600.0,14.01.2025,573 411.63,0.29
197,НКХП,Логистика,годовые 2023,6.93,0.78%,891.5,12.07.2024,60 262.73,0.29
198,Банк Санкт-Петербург-ап,Финансы и Банки,всего 12м,0.44,0.78%,56.7,,176 397.34,0.39
199,Левенгук,Разное,годовые 2024,0.3265,0.73%,44.5,28.06.2025,2 355.83,0.89
200,Диасофт,ПО и IT,6 месяцев 2024,38.35,0.69%,5549.5,25.10.2024,58 269.75,0.07
201,Левенгук,Разное,9 месяцев 2024,0.2992,0.67%,44.5,15.12.2024,2 355.83,0.89
202,Диасофт,ПО и IT,3 месяца 2024,28.0,0.5%,5549.5,09.07.2024,58 269.75,0.07
203,Банк Санкт-Петербург-ап,Финансы и Банки,годовые 2024,0.22,0.39%,56.7,06.05.2025,176 397.34,0.39
204,Банк Санкт-Петербург-ап,Финансы и Банки,I полугодие 2024,0.22,0.39%,56.7,09.10.2024,176 397.34,0.39
205,Фосагро,Химия,I квартал 2024,15.0,0.25%,5950.0,11.07.2024,770 525.00,0.5
206,Группа Позитив,ПО и IT,специальные,0.0,0%,3073.0,20.04.2025,202 818.00,0.29
207,Транснефть-п,Нефть/Газ,I полугодие 2024,0.0,0%,1621.0,19.10.2024,252 045.24,0.64
208,Химпром-п,Химия,годовые 2023,0.0,0%,26.14,11.07.2024,6 002.56,0.2
209,МГТС-п,Телекомы,годовые 2024,0.0,0%,1122.0,15.05.2025,133 781.53,0.0
210,Химпром-п,Химия,всего 12м,0.0,0%,26.14,,6 002.56,0.2
211,Группа Позитив,ПО и IT,I квартал 2025,0.0,0%,3073.0,24.05.2025,202 818.00,0.29
212,ММК,Металлы и добыча,I квартал 2024,0.0,0%,55.25,17.07.2024,617 381.73,0.07
213,Акрон,Химия,специальные,0.0,0%,15600.0,09.03.2025,573 411.63,0.29
214,Ростелеком-ао,Телекомы,9 месяцев 2024,0.0,0%,89.4,01.12.2024,309 888.01,0.57
215,Ростелеком-п,Телекомы,9 месяцев 2024,0.0,0%,78.2,01.12.2024,309 888.01,0.57
216,Распадская,Уголь,II полугодие 2024,0.0,0%,355.3,07.06.2025,236 535.26,0.0
217,Распадская,Уголь,всего 12м,0.0,0%,355.3,,236 535.26,0.0
218,Русснефть-ао,Нефть/Газ,годовые 2023,0.0,0%,199.2,11.07.2024,58 588.70,0.0
219,ОКЕЙ,Розничная торговля,6 месяцев 2024,0.0,0%,29.22,01.08.2024,3 001.15,0.0
220,ОКЕЙ,Розничная торговля,всего 12м,0.0,0%,29.22,,3 001.15,0.0
221,Химпром-п,Химия,I квартал 2025,0.0,0%,26.14,02.04.2025,6 002.56,0.2
222,Химпром-п,Химия,I полугодие 2024,0.0,0%,26.14,11.10.2024,6 002.56,0.2
223,ТКС Холдинг,Финансы и Банки,III квартал 2024,0.0,0%,2953.0,27.11.2024,588 549.12,0.0
224,ТКС Холдинг,Финансы и Банки,IV квартал 2024,0.0,0%,2953.0,26.03.2025,588 549.12,0.0
225,ФСК Россети,Энергетика,всего 12м,0.0,0%,0.1072,,226 605.19,0.0
226,Россети Северо-Запад (МРСК СЗ),Энергетика,всего 12м,0.0,0%,0.0814,,7 801.76,0.0
227,Россети Сибирь (МРСК Сибири),Энергетика,всего 12м,0.0,0%,0.665,,63 052.08,0.0
228,ЮГК,Металлы и добыча,годовые 2023,0.0,0%,0.8582,07.07.2024,182 648.37,0.0
229,М.Видео,Розничная торговля,годовые 2024,0.0,0%,165.4,28.04.2025,29 733.66,0.0
230,Аэрофлот,Транспорт,годовые 2023,0.0,0%,62.06,05.07.2024,246 736.36,0.0
231,Русал,Металлы и добыча,II полугодие 2024,0.0,0%,42.67,20.05.2025,648 361.91,0.0
232,ЛСР,Строительство,I полугодие 2024,0.0,0%,765.6,12.10.2024,78 879.93,0.29
233,Россети Северо-Запад (МРСК СЗ),Энергетика,годовые 2024,0.0,0%,0.0814,09.06.2025,7 801.76,0.0
234,КазаньОргСинтез-п,Химия,9 месяцев 2024,0.0,0%,24.62,15.12.2024,192 345.05,0.54
235,Селигдар ао,Металлы и добыча,9 месяцев 2024,0.0,0%,61.82,03.12.2024,63 674.60,0.43
236,ВТБ,Финансы и Банки,годовые 2024,0.0,0%,0.0211,30.06.2025,566 796.52,0.0
237,Газпром,Нефть/Газ,I полугодие 2024,0.0,0%,125.88,11.10.2024,6 294 664.38,0.2
238,En Plus,Металлы и добыча,годовые 2024,0.0,0%,429.15,05.05.2025,274 162.00,0.0
239,En Plus,Металлы и добыча,всего 12м,0.0,0%,429.15,,274 162.00,0.0
240,ЛУКОЙЛ,Нефть/Газ,специальные,0.0,0%,7329.0,21.12.2024,5 078 013.17,1.0
241,М.Видео,Розничная торговля,9 месяцев 2024,0.0,0%,165.4,16.12.2024,29 733.66,0.0
242,Мечел-ао,Металлы и добыча,годовые 2023,0.0,0%,218.15,17.07.2024,90 809.46,0.0
243,Мечел-ап,Металлы и добыча,годовые 2023,0.0,0%,247.3,17.07.2024,34 314.59,0.0
244,Куйбышевазот,Химия,9 месяцев 2024,0.0,0%,577.2,12.12.2024,137 273.87,0.43
245,МТС,Телекомы,I полугодие 2024,0.0,0%,294.7,12.10.2024,664 362.46,0.57
246,Куйбышевазот-п,Химия,9 месяцев 2024,0.0,0%,574.5,12.12.2024,137 273.87,0.43
247,ГК Самолет,Строительство,I квартал 2024,0.0,0%,3119.5,11.07.2024,192 096.81,0.0
248,ОГК-2,Энергетика,годовые 2023,0.0,0%,0.4723,10.07.2024,52 161.36,0.35
249,Распадская,Уголь,I полугодие 2024,0.0,0%,355.3,04.10.2024,236 535.26,0.0
250,HeadHunter,Пром. услуги,годовые 2024,0.0,0%,4882.0,10.06.2025,247 203.59,0.0
251,Русгидро,Энергетика,годовые 2023,0.0,0%,0.6641,12.07.2024,295 387.28,0.5
252,Делимобиль,Транспорт,годовые 2024,0.0,0%,306.0,19.06.2025,53 809.81,0.0
253,Сегежа,Разное,всего 12м,0.0,0%,2.98,,46 693.44,0.0
254,Распадская,Уголь,9 месяцев 2024,0.0,0%,355.3,18.01.2025,236 535.26,0.0
255,ТГК-1,Энергетика,годовые 2023,0.0,0%,0.00842,07.07.2024,47 906.98,0.0
