open,close,high,low,value,volume,begin,end,ticker
99.99,99.95,99.99,99.9,27189298.9,27203,2020-09-16 00:00:00,2020-09-16 23:59:59,RU000A101Z74
100.0,100.0,100.0,99.9,89603858.0,89669,2020-09-17 00:00:00,2020-09-17 23:59:59,RU000A101Z74
100.0,100.0,100.0,99.42,19431988.3,19432,2020-09-18 00:00:00,2020-09-18 23:59:59,RU000A101Z74
100.0,100.0,100.0,100.0,12951000.0,12951,2020-09-21 00:00:00,2020-09-21 23:59:59,RU000A101Z74
100.0,100.0,100.0,99.9,43912748.0,43913,2020-09-22 00:00:00,2020-09-22 23:59:59,RU000A101Z74
100.0,100.0,100.0,99.9,31324562.0,31326,2020-09-23 00:00:00,2020-09-23 23:59:59,RU000A101Z74
100.0,99.5,100.0,99.5,31623233.4,31626,2020-09-24 00:00:00,2020-09-24 23:59:59,RU000A101Z74
100.0,100.0,100.15,100.0,25527107.4,25520,2020-09-25 00:00:00,2020-09-25 23:59:59,RU000A101Z74
100.0,100.0,100.1,99.51,27171731.6,27151,2020-09-28 00:00:00,2020-09-28 23:59:59,RU000A101Z74
100.1,100.08,100.1,100.07,34252018.5,34224,2020-09-29 00:00:00,2020-09-29 23:59:59,RU000A101Z74
101.0,100.07,101.0,100.07,35816814.1,35780,2020-09-30 00:00:00,2020-09-30 23:59:59,RU000A101Z74
100.1,100.0,100.1,100.0,23842525.0,23841,2020-10-01 00:00:00,2020-10-01 23:59:59,RU000A101Z74
100.04,100.04,100.08,99.55,18233343.5,18224,2020-10-02 00:00:00,2020-10-02 23:59:59,RU000A101Z74
106.39,100.06,106.39,100.0,20606740.0,20592,2020-10-05 00:00:00,2020-10-05 23:59:59,RU000A101Z74
100.14,100.0,100.14,99.51,19150643.8,19127,2020-10-06 00:00:00,2020-10-06 23:59:59,RU000A101Z74
100.15,100.14,100.15,99.53,16622642.2,16600,2020-10-07 00:00:00,2020-10-07 23:59:59,RU000A101Z74
100.0,100.93,101.0,100.0,10103724.8,10006,2020-10-08 00:00:00,2020-10-08 23:59:59,RU000A101Z74
101.0,100.95,101.0,100.9,49382814.7,48919,2020-10-09 00:00:00,2020-10-09 23:59:59,RU000A101Z74
100.96,100.5,100.97,100.5,15195837.9,15056,2020-10-12 00:00:00,2020-10-12 23:59:59,RU000A101Z74
100.5,100.9,100.91,100.5,15109524.6,14994,2020-10-13 00:00:00,2020-10-13 23:59:59,RU000A101Z74
100.96,100.84,100.96,100.01,17157111.9,17020,2020-10-14 00:00:00,2020-10-14 23:59:59,RU000A101Z74
100.87,100.79,100.88,100.1,6875762.8,6823,2020-10-15 00:00:00,2020-10-15 23:59:59,RU000A101Z74
100.75,100.79,100.96,100.2,28143818.3,27931,2020-10-16 00:00:00,2020-10-16 23:59:59,RU000A101Z74
100.82,100.79,100.93,100.38,22688553.1,22503,2020-10-19 00:00:00,2020-10-19 23:59:59,RU000A101Z74
100.87,100.84,100.97,100.5,27036445.2,26797,2020-10-20 00:00:00,2020-10-20 23:59:59,RU000A101Z74
100.92,100.84,100.92,100.82,23588743.4,23388,2020-10-21 00:00:00,2020-10-21 23:59:59,RU000A101Z74
100.79,100.79,100.89,100.12,18491814.4,18339,2020-10-22 00:00:00,2020-10-22 23:59:59,RU000A101Z74
100.88,100.86,100.89,100.01,19675297.8,19507,2020-10-23 00:00:00,2020-10-23 23:59:59,RU000A101Z74
100.89,100.87,100.93,100.3,20185166.1,20010,2020-10-26 00:00:00,2020-10-26 23:59:59,RU000A101Z74
100.89,100.86,100.93,100.38,22607497.3,22414,2020-10-27 00:00:00,2020-10-27 23:59:59,RU000A101Z74
100.88,100.8,100.89,99.56,14628264.6,14514,2020-10-28 00:00:00,2020-10-28 23:59:59,RU000A101Z74
100.87,100.87,100.88,100.5,26108865.2,25884,2020-10-29 00:00:00,2020-10-29 23:59:59,RU000A101Z74
100.89,100.87,100.96,100.86,25232723.4,25011,2020-10-30 00:00:00,2020-10-30 23:59:59,RU000A101Z74
100.89,100.8,100.93,100.8,5547012.9,5498,2020-11-02 00:00:00,2020-11-02 23:59:59,RU000A101Z74
100.89,100.88,100.97,100.88,19512965.8,19337,2020-11-03 00:00:00,2020-11-03 23:59:59,RU000A101Z74
101.45,100.89,101.45,100.89,21838291.0,21640,2020-11-05 00:00:00,2020-11-05 23:59:59,RU000A101Z74
100.89,100.87,100.89,100.8,20030103.1,19854,2020-11-06 00:00:00,2020-11-06 23:59:59,RU000A101Z74
100.65,100.87,100.89,100.65,19252512.1,19085,2020-11-09 00:00:00,2020-11-09 23:59:59,RU000A101Z74
101.0,100.89,101.0,100.87,21720180.7,21527,2020-11-10 00:00:00,2020-11-10 23:59:59,RU000A101Z74
101.0,100.62,101.0,100.62,46201658.9,45849,2020-11-11 00:00:00,2020-11-11 23:59:59,RU000A101Z74
102.85,100.51,102.85,100.51,19920475.1,19760,2020-11-12 00:00:00,2020-11-12 23:59:59,RU000A101Z74
100.01,100.64,100.99,100.0,38308692.1,37999,2020-11-13 00:00:00,2020-11-13 23:59:59,RU000A101Z74
100.88,100.5,100.93,100.45,45444549.7,45165,2020-11-16 00:00:00,2020-11-16 23:59:59,RU000A101Z74
100.85,100.6,100.88,100.41,19601392.6,19448,2020-11-17 00:00:00,2020-11-17 23:59:59,RU000A101Z74
100.85,100.84,100.86,100.5,77067245.2,76431,2020-11-18 00:00:00,2020-11-18 23:59:59,RU000A101Z74
100.85,100.88,100.99,100.6,26534139.1,26284,2020-11-19 00:00:00,2020-11-19 23:59:59,RU000A101Z74
100.85,100.84,101.0,100.83,27047070.7,26817,2020-11-20 00:00:00,2020-11-20 23:59:59,RU000A101Z74
100.84,100.83,100.85,100.83,19243486.4,19084,2020-11-23 00:00:00,2020-11-23 23:59:59,RU000A101Z74
100.52,100.8,101.1,100.52,30325656.1,30082,2020-11-24 00:00:00,2020-11-24 23:59:59,RU000A101Z74
100.84,101.1,101.1,100.45,17258666.5,17112,2020-11-25 00:00:00,2020-11-25 23:59:59,RU000A101Z74
100.84,100.8,101.0,100.8,34172961.6,33889,2020-11-26 00:00:00,2020-11-26 23:59:59,RU000A101Z74
100.84,101.0,101.09,100.83,33104298.4,32822,2020-11-27 00:00:00,2020-11-27 23:59:59,RU000A101Z74
101.0,100.88,101.07,100.8,21590542.5,21394,2020-11-30 00:00:00,2020-11-30 23:59:59,RU000A101Z74
101.09,100.7,101.09,100.7,11101944.9,11001,2020-12-01 00:00:00,2020-12-01 23:59:59,RU000A101Z74
100.52,100.68,101.03,100.52,43581035.3,43259,2020-12-02 00:00:00,2020-12-02 23:59:59,RU000A101Z74
100.99,100.65,100.99,100.61,38239852.3,37942,2020-12-03 00:00:00,2020-12-03 23:59:59,RU000A101Z74
101.0,100.6,101.0,100.6,51615696.7,51232,2020-12-04 00:00:00,2020-12-04 23:59:59,RU000A101Z74
100.7,100.89,100.89,100.55,12902389.8,12794,2020-12-07 00:00:00,2020-12-07 23:59:59,RU000A101Z74
100.7,100.87,100.99,100.65,18128621.0,17970,2020-12-08 00:00:00,2020-12-08 23:59:59,RU000A101Z74
100.98,100.85,100.98,100.84,11639072.4,11534,2020-12-09 00:00:00,2020-12-09 23:59:59,RU000A101Z74
101.0,100.9,101.03,100.85,29077078.1,28826,2020-12-10 00:00:00,2020-12-10 23:59:59,RU000A101Z74
101.0,100.9,101.03,100.6,18993404.5,18824,2020-12-11 00:00:00,2020-12-11 23:59:59,RU000A101Z74
101.0,100.89,101.0,100.6,9112698.8,9036,2020-12-14 00:00:00,2020-12-14 23:59:59,RU000A101Z74
101.08,100.84,101.08,100.65,27029856.0,26802,2020-12-15 00:00:00,2020-12-15 23:59:59,RU000A101Z74
100.62,100.79,101.03,100.62,9033689.0,8956,2020-12-16 00:00:00,2020-12-16 23:59:59,RU000A101Z74
100.99,100.69,100.99,100.6,31592383.1,31346,2020-12-17 00:00:00,2020-12-17 23:59:59,RU000A101Z74
100.74,100.59,100.83,100.5,57064720.4,56743,2020-12-18 00:00:00,2020-12-18 23:59:59,RU000A101Z74
100.81,100.5,100.81,100.4,18655453.1,18551,2020-12-21 00:00:00,2020-12-21 23:59:59,RU000A101Z74
100.83,100.49,100.84,100.0,20796105.2,20659,2020-12-22 00:00:00,2020-12-22 23:59:59,RU000A101Z74
100.66,100.5,100.86,100.5,57611335.3,57245,2020-12-23 00:00:00,2020-12-23 23:59:59,RU000A101Z74
100.88,100.5,100.88,100.5,33964941.4,33737,2020-12-24 00:00:00,2020-12-24 23:59:59,RU000A101Z74
100.8,100.5,100.83,100.0,34684207.1,34478,2020-12-25 00:00:00,2020-12-25 23:59:59,RU000A101Z74
100.82,100.7,101.03,100.24,45224668.7,44788,2020-12-28 00:00:00,2020-12-28 23:59:59,RU000A101Z74
101.03,101.0,101.03,100.95,24360189.4,24120,2020-12-29 00:00:00,2020-12-29 23:59:59,RU000A101Z74
101.02,100.58,101.37,100.5,44661123.8,44222,2020-12-30 00:00:00,2020-12-30 23:59:59,RU000A101Z74
101.07,101.58,101.58,101.0,2327134.7,2297,2021-01-04 00:00:00,2021-01-04 23:59:59,RU000A101Z74
101.65,101.65,101.65,101.65,10165.0,10,2021-01-05 00:00:00,2021-01-05 23:59:59,RU000A101Z74
101.65,101.65,101.65,101.65,408633.0,402,2021-01-06 00:00:00,2021-01-06 23:59:59,RU000A101Z74
101.66,101.18,101.66,101.09,3039.3,3,2021-01-08 00:00:00,2021-01-08 23:59:59,RU000A101Z74
100.67,101.28,101.28,100.5,9908763.0,9815,2021-01-11 00:00:00,2021-01-11 23:59:59,RU000A101Z74
101.01,101.01,101.01,100.8,8161865.1,8082,2021-01-12 00:00:00,2021-01-12 23:59:59,RU000A101Z74
101.01,100.98,101.28,100.6,56421625.4,55935,2021-01-13 00:00:00,2021-01-13 23:59:59,RU000A101Z74
101.0,100.93,101.0,100.7,16709736.0,16564,2021-01-14 00:00:00,2021-01-14 23:59:59,RU000A101Z74
101.0,100.9,101.0,100.7,30465782.7,30230,2021-01-15 00:00:00,2021-01-15 23:59:59,RU000A101Z74
100.9,100.74,101.01,100.5,16420509.7,16295,2021-01-18 00:00:00,2021-01-18 23:59:59,RU000A101Z74
100.25,100.5,101.0,100.25,38381589.8,38157,2021-01-19 00:00:00,2021-01-19 23:59:59,RU000A101Z74
101.0,100.5,101.0,100.44,36991141.4,36744,2021-01-20 00:00:00,2021-01-20 23:59:59,RU000A101Z74
100.75,100.5,100.79,100.5,26113897.1,25951,2021-01-21 00:00:00,2021-01-21 23:59:59,RU000A101Z74
100.87,100.69,100.88,100.4,22373759.7,22237,2021-01-22 00:00:00,2021-01-22 23:59:59,RU000A101Z74
100.94,100.85,100.95,100.4,6973416.7,6914,2021-01-25 00:00:00,2021-01-25 23:59:59,RU000A101Z74
100.75,100.5,100.75,100.4,44463881.3,44190,2021-01-26 00:00:00,2021-01-26 23:59:59,RU000A101Z74
100.65,100.71,100.74,100.52,13977604.1,13879,2021-01-27 00:00:00,2021-01-27 23:59:59,RU000A101Z74
100.69,100.4,100.69,100.06,36998904.4,36896,2021-01-28 00:00:00,2021-01-28 23:59:59,RU000A101Z74
100.62,100.49,100.95,100.41,13555199.3,13467,2021-01-29 00:00:00,2021-01-29 23:59:59,RU000A101Z74
100.94,100.5,100.95,100.3,22805519.8,22666,2021-02-01 00:00:00,2021-02-01 23:59:59,RU000A101Z74
100.34,100.45,100.78,100.33,17907618.3,17803,2021-02-02 00:00:00,2021-02-02 23:59:59,RU000A101Z74
100.67,100.21,100.7,99.9,23841195.9,23748,2021-02-03 00:00:00,2021-02-03 23:59:59,RU000A101Z74
100.79,100.44,100.79,100.16,20345589.6,20261,2021-02-04 00:00:00,2021-02-04 23:59:59,RU000A101Z74
100.6,100.6,100.67,100.3,15200908.8,15120,2021-02-05 00:00:00,2021-02-05 23:59:59,RU000A101Z74
100.96,100.68,100.96,100.2,62379620.4,62100,2021-02-08 00:00:00,2021-02-08 23:59:59,RU000A101Z74
100.81,100.3,100.81,100.21,22408354.6,22304,2021-02-09 00:00:00,2021-02-09 23:59:59,RU000A101Z74
100.39,100.3,100.8,100.25,48804794.9,48586,2021-02-10 00:00:00,2021-02-10 23:59:59,RU000A101Z74
100.56,100.54,100.74,100.08,13502326.1,13429,2021-02-11 00:00:00,2021-02-11 23:59:59,RU000A101Z74
100.74,100.3,100.74,100.25,24422174.7,24329,2021-02-12 00:00:00,2021-02-12 23:59:59,RU000A101Z74
100.59,99.91,100.59,99.91,17062067.2,17002,2021-02-15 00:00:00,2021-02-15 23:59:59,RU000A101Z74
100.49,99.91,100.49,99.91,18485993.1,18428,2021-02-16 00:00:00,2021-02-16 23:59:59,RU000A101Z74
100.32,100.32,100.34,100.01,9318042.4,9289,2021-02-17 00:00:00,2021-02-17 23:59:59,RU000A101Z74
100.41,100.19,100.41,99.8,24012727.4,23980,2021-02-18 00:00:00,2021-02-18 23:59:59,RU000A101Z74
100.4,100.25,100.41,99.98,7046266.0,7026,2021-02-19 00:00:00,2021-02-19 23:59:59,RU000A101Z74
100.27,100.0,100.39,99.65,16106477.9,16074,2021-02-20 00:00:00,2021-02-20 23:59:59,RU000A101Z74
100.36,99.93,100.37,99.93,678017.9,676,2021-02-22 00:00:00,2021-02-22 23:59:59,RU000A101Z74
100.4,100.01,100.42,100.0,12391627.6,12376,2021-02-24 00:00:00,2021-02-24 23:59:59,RU000A101Z74
99.85,100.17,100.24,99.81,6328691.1,6321,2021-02-25 00:00:00,2021-02-25 23:59:59,RU000A101Z74
100.3,99.8,100.3,99.61,39286483.3,39307,2021-02-26 00:00:00,2021-02-26 23:59:59,RU000A101Z74
99.99,100.17,100.18,99.99,9451297.2,9437,2021-03-01 00:00:00,2021-03-01 23:59:59,RU000A101Z74
100.3,100.03,100.3,99.7,9556126.1,9556,2021-03-02 00:00:00,2021-03-02 23:59:59,RU000A101Z74
100.02,99.96,100.12,99.7,45616446.7,45684,2021-03-03 00:00:00,2021-03-03 23:59:59,RU000A101Z74
99.8,100.27,100.28,99.55,12332533.8,12323,2021-03-04 00:00:00,2021-03-04 23:59:59,RU000A101Z74
99.56,99.79,100.29,99.31,18220552.6,18257,2021-03-05 00:00:00,2021-03-05 23:59:59,RU000A101Z74
100.24,99.9,100.29,99.41,10260926.1,10254,2021-03-09 00:00:00,2021-03-09 23:59:59,RU000A101Z74
100.23,99.89,100.24,99.76,14669405.2,14664,2021-03-10 00:00:00,2021-03-10 23:59:59,RU000A101Z74
100.14,99.6,100.17,97.0,64597661.4,64776,2021-03-11 00:00:00,2021-03-11 23:59:59,RU000A101Z74
99.9,99.98,100.18,98.61,8597366.1,8600,2021-03-12 00:00:00,2021-03-12 23:59:59,RU000A101Z74
100.25,100.08,100.28,98.58,9801632.4,9800,2021-03-15 00:00:00,2021-03-15 23:59:59,RU000A101Z74
100.23,99.6,100.23,98.65,32736373.3,32799,2021-03-16 00:00:00,2021-03-16 23:59:59,RU000A101Z74
99.98,99.72,100.09,98.73,46708357.1,46869,2021-03-17 00:00:00,2021-03-17 23:59:59,RU000A101Z74
99.44,99.75,99.85,99.25,7188974.3,7213,2021-03-18 00:00:00,2021-03-18 23:59:59,RU000A101Z74
99.97,99.17,99.98,98.14,28390901.0,28571,2021-03-19 00:00:00,2021-03-19 23:59:59,RU000A101Z74
99.39,99.4,100.0,99.07,9962338.3,9993,2021-03-22 00:00:00,2021-03-22 23:59:59,RU000A101Z74
99.97,99.42,99.98,98.54,13402656.8,13471,2021-03-23 00:00:00,2021-03-23 23:59:59,RU000A101Z74
97.12,99.31,99.61,97.12,16168803.1,16251,2021-03-24 00:00:00,2021-03-24 23:59:59,RU000A101Z74
99.25,99.06,99.37,98.85,53224102.7,53767,2021-03-25 00:00:00,2021-03-25 23:59:59,RU000A101Z74
99.22,98.7,99.5,97.06,34144344.8,34451,2021-03-26 00:00:00,2021-03-26 23:59:59,RU000A101Z74
99.86,99.0,99.89,98.8,19664470.0,19837,2021-03-29 00:00:00,2021-03-29 23:59:59,RU000A101Z74
99.29,98.7,99.29,98.55,24896364.8,25173,2021-03-30 00:00:00,2021-03-30 23:59:59,RU000A101Z74
100.1,98.8,100.1,98.8,13646701.7,13793,2021-03-31 00:00:00,2021-03-31 23:59:59,RU000A101Z74
99.01,99.39,100.0,99.0,10883291.8,10954,2021-04-01 00:00:00,2021-04-01 23:59:59,RU000A101Z74
99.85,98.81,99.9,98.81,11058145.0,11161,2021-04-02 00:00:00,2021-04-02 23:59:59,RU000A101Z74
99.15,98.92,99.85,98.9,28017055.7,28260,2021-04-05 00:00:00,2021-04-05 23:59:59,RU000A101Z74
99.46,99.03,99.8,98.7,40926522.8,41368,2021-04-06 00:00:00,2021-04-06 23:59:59,RU000A101Z74
99.94,98.78,99.94,97.09,35615451.0,36112,2021-04-07 00:00:00,2021-04-07 23:59:59,RU000A101Z74
98.87,99.07,99.19,98.22,6028651.9,6093,2021-04-08 00:00:00,2021-04-08 23:59:59,RU000A101Z74
99.82,99.5,99.82,98.44,4331368.5,4353,2021-04-09 00:00:00,2021-04-09 23:59:59,RU000A101Z74
97.12,99.0,99.99,97.11,10331315.4,10391,2021-04-12 00:00:00,2021-04-12 23:59:59,RU000A101Z74
99.17,98.54,99.46,98.3,42372815.4,42887,2021-04-13 00:00:00,2021-04-13 23:59:59,RU000A101Z74
98.59,98.5,99.38,98.0,13857477.2,14049,2021-04-14 00:00:00,2021-04-14 23:59:59,RU000A101Z74
98.48,98.3,98.49,98.06,21445564.9,21795,2021-04-15 00:00:00,2021-04-15 23:59:59,RU000A101Z74
99.89,99.3,99.9,98.02,9888489.6,9974,2021-04-16 00:00:00,2021-04-16 23:59:59,RU000A101Z74
99.29,98.99,99.65,98.49,7864413.7,7935,2021-04-19 00:00:00,2021-04-19 23:59:59,RU000A101Z74
99.2,98.66,99.2,98.4,51626527.3,52381,2021-04-20 00:00:00,2021-04-20 23:59:59,RU000A101Z74
98.98,98.7,98.99,98.6,13348294.2,13508,2021-04-21 00:00:00,2021-04-21 23:59:59,RU000A101Z74
98.92,98.99,99.08,98.55,5769935.9,5838,2021-04-22 00:00:00,2021-04-22 23:59:59,RU000A101Z74
99.13,98.68,99.15,98.11,9977239.0,10113,2021-04-23 00:00:00,2021-04-23 23:59:59,RU000A101Z74
98.69,98.95,98.99,98.19,4219721.9,4267,2021-04-26 00:00:00,2021-04-26 23:59:59,RU000A101Z74
99.13,98.65,99.14,98.65,13133696.3,13287,2021-04-27 00:00:00,2021-04-27 23:59:59,RU000A101Z74
98.43,98.72,99.15,98.3,10539645.7,10684,2021-04-28 00:00:00,2021-04-28 23:59:59,RU000A101Z74
99.16,98.65,99.17,98.64,8321473.7,8424,2021-04-29 00:00:00,2021-04-29 23:59:59,RU000A101Z74
99.13,98.74,99.3,98.4,43750769.3,44400,2021-04-30 00:00:00,2021-04-30 23:59:59,RU000A101Z74
99.09,98.68,99.14,98.14,3642743.3,3681,2021-05-04 00:00:00,2021-05-04 23:59:59,RU000A101Z74
98.66,98.89,99.21,98.23,3156145.3,3193,2021-05-05 00:00:00,2021-05-05 23:59:59,RU000A101Z74
98.5,98.89,98.95,98.5,1419503.0,1437,2021-05-06 00:00:00,2021-05-06 23:59:59,RU000A101Z74
99.04,98.69,99.04,98.4,1521940.4,1545,2021-05-07 00:00:00,2021-05-07 23:59:59,RU000A101Z74
98.94,98.97,98.97,98.92,631246.7,638,2021-05-10 00:00:00,2021-05-10 23:59:59,RU000A101Z74
99.56,98.69,99.56,98.5,4044340.1,4099,2021-05-11 00:00:00,2021-05-11 23:59:59,RU000A101Z74
98.68,98.5,98.7,98.19,10210588.9,10354,2021-05-12 00:00:00,2021-05-12 23:59:59,RU000A101Z74
98.82,98.5,98.83,98.25,2812524.3,2855,2021-05-13 00:00:00,2021-05-13 23:59:59,RU000A101Z74
98.5,98.5,98.65,98.13,2101080.5,2134,2021-05-14 00:00:00,2021-05-14 23:59:59,RU000A101Z74
98.59,98.4,98.59,98.31,328981.4,334,2021-05-17 00:00:00,2021-05-17 23:59:59,RU000A101Z74
98.3,98.48,98.48,97.8,181879.6,185,2021-05-18 00:00:00,2021-05-18 23:59:59,RU000A101Z74
98.64,98.38,98.73,98.37,1234511.5,1252,2021-05-19 00:00:00,2021-05-19 23:59:59,RU000A101Z74
98.39,98.21,98.39,97.49,251440.8,256,2021-05-20 00:00:00,2021-05-20 23:59:59,RU000A101Z74
98.15,97.99,98.15,97.02,1533298.6,1567,2021-05-21 00:00:00,2021-05-21 23:59:59,RU000A101Z74
98.61,97.74,98.61,97.5,1066838.1,1092,2021-05-24 00:00:00,2021-05-24 23:59:59,RU000A101Z74
98.7,97.87,98.7,97.21,5718747.5,5872,2021-05-25 00:00:00,2021-05-25 23:59:59,RU000A101Z74
97.51,97.69,97.7,97.5,1383633.8,1419,2021-05-26 00:00:00,2021-05-26 23:59:59,RU000A101Z74
97.75,97.72,97.91,97.31,14218394.9,14527,2021-05-27 00:00:00,2021-05-27 23:59:59,RU000A101Z74
99.78,98.36,99.78,96.57,1124333.6,1149,2021-05-28 00:00:00,2021-05-28 23:59:59,RU000A101Z74
98.73,97.81,98.73,96.5,6436226.2,6576,2021-05-31 00:00:00,2021-05-31 23:59:59,RU000A101Z74
98.2,98.0,98.7,97.65,1910353.0,1943,2021-06-01 00:00:00,2021-06-01 23:59:59,RU000A101Z74
98.0,97.71,98.0,97.71,3993993.1,4076,2021-06-02 00:00:00,2021-06-02 23:59:59,RU000A101Z74
97.98,97.89,97.98,97.88,4093628.6,4180,2021-06-03 00:00:00,2021-06-03 23:59:59,RU000A101Z74
97.8,97.79,97.8,97.79,1281178.9,1310,2021-06-04 00:00:00,2021-06-04 23:59:59,RU000A101Z74
98.69,97.55,98.69,97.36,1364419.7,1397,2021-06-07 00:00:00,2021-06-07 23:59:59,RU000A101Z74
99.59,97.3,99.59,97.3,1326653.0,1362,2021-06-08 00:00:00,2021-06-08 23:59:59,RU000A101Z74
97.38,97.09,97.39,95.36,4413167.8,4569,2021-06-09 00:00:00,2021-06-09 23:59:59,RU000A101Z74
95.56,96.5,96.93,94.96,6164399.7,6406,2021-06-10 00:00:00,2021-06-10 23:59:59,RU000A101Z74
97.0,96.98,97.0,95.1,18738114.5,19400,2021-06-11 00:00:00,2021-06-11 23:59:59,RU000A101Z74
96.76,97.13,97.15,96.49,29024.9,30,2021-06-14 00:00:00,2021-06-14 23:59:59,RU000A101Z74
95.48,96.73,98.63,95.48,403329.1,420,2021-06-15 00:00:00,2021-06-15 23:59:59,RU000A101Z74
96.11,96.6,96.63,96.02,12118374.1,12568,2021-06-16 00:00:00,2021-06-16 23:59:59,RU000A101Z74
96.2,96.6,96.6,95.55,4634843.1,4811,2021-06-17 00:00:00,2021-06-17 23:59:59,RU000A101Z74
96.79,96.59,96.79,95.91,3125946.6,3240,2021-06-18 00:00:00,2021-06-18 23:59:59,RU000A101Z74
96.16,96.47,96.57,96.0,1571495.1,1635,2021-06-21 00:00:00,2021-06-21 23:59:59,RU000A101Z74
95.65,96.54,96.54,95.6,6413444.0,6654,2021-06-22 00:00:00,2021-06-22 23:59:59,RU000A101Z74
96.32,96.44,96.44,96.31,1246131.8,1293,2021-06-23 00:00:00,2021-06-23 23:59:59,RU000A101Z74
96.74,96.65,96.74,96.0,3707832.3,3839,2021-06-24 00:00:00,2021-06-24 23:59:59,RU000A101Z74
95.57,96.56,96.64,95.5,2473307.0,2566,2021-06-25 00:00:00,2021-06-25 23:59:59,RU000A101Z74
96.41,96.35,96.58,96.35,508739.0,528,2021-06-28 00:00:00,2021-06-28 23:59:59,RU000A101Z74
96.36,96.83,96.83,96.35,9578374.6,9919,2021-06-29 00:00:00,2021-06-29 23:59:59,RU000A101Z74
97.0,96.6,97.68,96.16,6397128.0,6626,2021-06-30 00:00:00,2021-06-30 23:59:59,RU000A101Z74
